regionID,zipCode,city,lat,lon,yearlyDemand,minutesPerStop
214,12580,BENICARLO,40.4165,0.4271,5379,14.72557048543164
215,45570,PUENTE DEL ARZOBISPO (EL,39.8017,-5.1718,815,14.46791145155814
216,50400,CARIÑENA,41.338,-1.2251,739,19.113745812578472
217,25620,TREMP,42.1665,0.895,848,13.329956688823382
218,05100,NAVALUENGA,40.4108,-4.7062,442,27.293936315299604
219,05461,MIJARES,40.2962,-4.837,228,25.394935477686516
220,05530,MUÑOGALINDO,40.59466666666666,-4.902066666666666,143,26.31647456310298
221,25680,VALLFOGONA DE BALAGUER,41.7521,0.8138,1656,13.00611558210219
222,05220,MADRIGAL DE LAS ALTAS TO,41.07535,-5.00905,224,25.850422562688266
223,05230,NAVAS DEL MARQUES (LAS),40.6024,-4.3345,1986,17.759996271364166
224,15980,PADRON,42.7108,-8.7447,2262,16.317897025225538
225,14600,MONTORO,38.19941,-3.12087,955,20.762074561621727
226,05268,HERRADON DE PINARES,40.5427,-4.5804,175,25.11876802533918
227,05005,AVILA,40.6572,-4.6995,7803,21.863660502044553
228,50580,VERA DE MONCAYO,41.824,-1.688,159,19.702306955402513
229,19180,MARCHAMALO,40.6683,-3.2025,1376,17.41404574529249
230,05350,SAN PEDRO DEL ARROYO,40.78925,-4.874700000000001,282,26.129516926466554
231,34230,TORQUEMADA,42.0337,-4.3199,162,18.550495505575423
232,45620,MONTESCLAROS,40.1067,-4.9383,361,17.045909239713566
233,24230,VALDEVIMBRE,42.4197,-5.618,359,25.165798656563183
234,18700,ALBUÑOL,36.792,-3.203,839,15.599782044363657
235,25320,ANGLESOLA,41.6569,1.0835,2070,13.978943725582775
236,15293,CARNOTA,42.8303,-9.09036,964,16.873505289563468
237,45350,NOBLEJAS,39.9788,-3.441,7811,10.854373272078666
238,41550,AGUADULCE,37.283166666666666,-5.063533333333333,2829,16.152100177495026
239,10470,VILLANUEVA DE LA VERA,40.13,-5.4625,592,17.96419290338585
240,05593,LAS NAVAS,40.410866666666664,-5.396816666666666,263,26.423962335051357
241,18013,GRANADA,37.2004,-3.6099,21934,17.347465087082462
242,29009,MALAGA,36.7202,-4.4203,6852,14.473701263402459
243,37740,SANTIBAÑEZ DE BEJAR,40.4879,-5.6111,1268,27.286477119986113
244,28050,MADRID,40.4975,-3.6637,247638,11.119469599088278
245,05415,HORNILLO (EL),40.2502,-5.1037,638,26.667456654215
246,37900,SANTA MARTA DE TORMES,40.9507,-5.6272,20151,15.092644849715004
247,19462,ILLANA,40.6656,-2.07,600,25.67171913277282
248,34800,AGUILAR DE CAMPOO,42.7945,-4.2589,779,24.163849689464968
249,10650,AHIGAL,40.1894,-6.1877,4939,15.408097439522331
250,27611,PARADELA,42.755805555555554,-7.581094444444444,1822,21.501161507249364
251,24007,LEON,42.6,-5.5703,9893,17.45257022242226
252,06005,BADAJOZ,38.8742,-6.9783,7397,13.014910635744654
253,33468,TRASONA,43.549490909090906,-5.871145454545455,7807,15.856828801788033
254,47511,SIETEIGLESIAS DE TRABANCOS,41.3522,-5.1849,389,21.9897638594794
255,06130,VALVERDE DE LEGANES,38.6706,-6.9804,1335,16.271141935089254
256,06140,TALAVERA LA REAL,38.8779,-6.7686,571,14.744989475882008
257,45700,CONSUEGRA,39.4608,-3.6077,1368,7.124258350457201
258,22880,CANFRANC,42.6513,-0.4517,1418,19.73079144146683
259,06200,ALMENDRALEJO,38.681,-6.4064,4350,18.900577120103296
260,41740,LEBRIJA,36.9192,-6.0761,1942,12.716105175194397
261,33879,TINEO,43.35769772727273,-6.407702272727272,447,32.12023535782237
262,50240,MORES,41.4733,-1.5649,1656,20.60906264244833
263,26526,CORNAGO,42.0651,-2.0953,125,17.433179448262266
264,06260,MONESTERIO,38.0882,-6.2722,272,19.201053604805804
265,06300,ZAFRA,38.4229,-6.4166,1878,21.097652477984084
266,48270,MARKINA-XEMEIN,43.2684,-2.4985,5504,13.682241114669491
267,49800,TORO,41.5242,-5.3953,751,20.825224506547237
268,06400,DON BENITO,38.9564,-5.8612,2172,20.153657055962164
269,39577,VEGA DE LIEBANA,43.0889625,-4.6832,267,13.918658234331206
270,24237,TORAL DE LOS GUZMANES,42.26583333333333,-5.565633333333333,343,23.709343709191955
